"","university","percent_disagree_strongly_2020","percent_disagree_mildly_2020","percent_neutral_2020","percent_agree_mildly_2020","percent_agree_strongly_2020","sample_size_2020","respondents_2020","percent_disagree_strongly_2021","percent_disagree_mildly_2021","percent_neutral_2021","percent_agree_mildly_2021","percent_agree_strongly_2021","sample_size_2021","respondents_2021"
"186","University of Lincoln",2,4,7,41,47,3614,2654,4,8,10,42,36,3926,2854
"187","Lincoln College",2,8,10,55,26,83,62,2,9,16,41,33,79,58
"188","The University of Liverpool",2,5,8,48,36,7024,4062,4,7,11,48,30,6949,4453
"189","Liverpool Hope University",3,5,9,43,41,1027,779,6,9,12,43,30,1058,755
"190","The Liverpool Institute for Performing Arts",3,5,9,37,46,245,181,5,8,12,48,27,250,186
"191","Liverpool John Moores University",3,5,9,46,38,5065,3653,6,9,13,45,28,5320,3696
"192","University College London",3,7,10,47,34,4981,3333,4,9,12,44,31,5158,3675
"193","London Bridge Business Academy Limited",0,0,2,19,79,86,48,0,0,5,13,83,59,40
"194","London Churchill College Ltd",0,0,5,35,59,344,283,0,1,3,22,75,140,134
"195","The London Institute of Banking & Finance",5,7,12,59,17,72,41,4,10,13,40,32,98,68
"196","London Metropolitan University",4,6,11,40,40,1429,1156,4,6,9,37,43,1397,1164
"197","The London School of Economics and Political Science",3,4,9,47,36,1562,1032,5,7,11,44,33,1692,1158
"198","London School of Management Education Limited",5,3,5,38,50,42,40,2,0,2,31,65,59,55
"199","London School of Science & Technology Limited",0,0,10,50,40,11,10,0,3,7,45,45,310,239
"200","London School of Theology",2,4,9,48,37,57,46,5,7,19,23,47,50,43
"201","London South Bank University",4,7,10,43,36,2488,1818,7,10,16,40,26,2979,2138
"202","London South East Colleges",5,8,17,42,28,82,60,6,6,12,21,56,63,52
"203","London Studio Centre Limited",0,3,10,40,48,110,103,3,8,12,42,36,95,76
"204","Loughborough College",4,3,10,32,51,203,131,2,3,11,40,44,176,131
"205","Loughborough University",1,4,6,41,48,3201,2431,3,5,8,41,44,3606,2800
"206","LTE Group",3,4,10,33,49,299,254,8,13,11,37,30,338,260
"207","Luminate Education Group",1,3,7,36,52,512,378,4,5,11,39,41,408,304
"208","Luther King House Educational Trust",6,0,0,13,81,18,16,NA,NA,NA,NA,NA,NA,NA
"209","The University of Manchester",3,7,9,49,32,6840,4062,6,10,13,49,23,7153,4436
"210","Manchester Metropolitan University",2,5,9,46,37,6909,5125,6,11,13,45,25,7320,4926
"211","The Markfield Institute of Higher Education",0,0,19,35,46,33,26,0,0,4,32,64,26,25
"212","Matrix College of Counselling and Psychotherapy Ltd",6,0,0,41,53,20,17,0,0,12,38,50,31,26
"213","Met Film School Limited",7,9,9,61,14,79,69,5,21,18,38,18,98,73
"214","The Metanoia Institute",3,3,23,29,42,40,31,3,6,9,66,16,37,32
"215","Middlesbrough College",0,1,4,57,38,88,72,4,6,10,26,54,114,78
"216","Middlesex University",3,6,13,46,31,3525,2561,6,10,15,43,26,3371,2305
"217","Mid-Kent College",6,16,19,38,22,44,32,NA,NA,NA,NA,NA,NA,NA
"218","Milton Keynes College",10,14,6,42,28,29,19,9,36,18,9,27,16,11
"219","Mont Rose College of Management and Sciences Limited",0,2,6,40,52,348,254,1,2,5,32,60,269,196
"220","Moorlands College",0,0,0,27,73,48,41,0,2,2,25,71,54,48
"221","Morley College Limited",10,0,16,29,45,58,31,4,0,12,42,42,36,26
"222","Moulton College",27,8,19,38,8,32,26,14,11,8,38,30,45,37
"223","Mountview Academy of Theatre Arts Limited",1,5,5,42,47,94,85,6,8,18,42,26,104,88
"224","Myerscough College",4,9,9,48,30,231,160,5,5,9,50,32,223,153
"225","Nazarene Theological College",0,0,5,10,85,21,20,0,0,0,18,82,12,11
"226","NCG",5,7,12,38,37,520,419,5,7,12,34,42,618,533
"227","NCH at Northeastern Limited",0,2,2,31,64,53,45,7,4,5,32,52,69,56
"228","Grŵp Colegau NPTC Group of Colleges",4,15,8,31,42,39,26,11,22,6,39,22,27,18
"229","Nelson and Colne College",5,14,15,32,34,104,65,6,4,14,35,41,67,49
"230","Nelson College London Limited",1,1,3,27,69,444,339,0,1,1,25,73,508,448
"231","New City College",4,7,9,38,41,542,380,6,3,19,36,35,472,299
"232","New College Durham",3,5,5,32,55,203,154,4,5,8,38,45,348,244
"233","New College Swindon",3,7,7,35,47,473,268,5,6,11,43,35,314,193
"234","University of Newcastle upon Tyne",3,6,9,48,35,5523,3541,6,11,14,47,23,5878,3828
"235","Newman University",2,3,8,42,45,549,384,5,7,13,35,40,494,371
"236","Norland College Limited",2,2,1,21,74,96,92,1,4,8,24,63,88,78
"237","North East Surrey College of Technology (NESCOT)",1,6,9,57,27,95,82,3,2,3,24,69,356,242
"238","North Kent College",0,0,0,31,69,17,13,NA,NA,NA,NA,NA,NA,NA
"239","North Warwickshire and South Leicestershire College",3,5,5,48,40,60,40,0,4,9,42,45,64,53
"240","North West Regional College",2,3,7,30,58,225,162,5,5,15,40,36,246,197
"241","University of Northampton, The",4,6,11,45,34,2149,1494,6,10,16,41,27,2332,1553
"242","Northampton College",15,15,0,38,31,43,26,NA,NA,NA,NA,NA,NA,NA
"243","Northern College of Acupuncture",0,5,9,55,32,24,22,4,4,9,13,70,29,23
"244","Northern Regional College",3,3,11,44,40,178,114,6,3,10,43,39,201,114
"245","The Northern School of Art",3,2,10,40,46,182,144,3,8,11,41,37,188,155
"246","University of Northumbria at Newcastle",3,7,9,46,35,4735,3511,7,12,13,44,25,4994,3373
"247","Norwich University of the Arts",4,5,11,40,40,578,451,4,11,12,42,31,667,541
"248","Nottingham College",3,3,14,41,39,133,115,14,11,17,44,14,115,72
"249","Nottingham Trent University",1,4,7,44,43,6637,5292,5,9,13,46,27,7944,5956
"250","University of Nottingham, The",3,6,9,47,35,6666,4350,5,8,11,48,28,7015,4352
"251","Oaklands College",0,9,9,18,64,14,11,NA,NA,NA,NA,NA,NA,NA
"252","The Oldham College",0,4,7,26,63,157,127,8,4,5,36,47,172,144
"253","The Open University",2,4,6,40,47,46532,24168,2,4,6,39,49,27791,16006
"254","School of Oriental and African Studies",2,8,12,43,35,771,437,7,7,12,42,32,615,382
"255","University College of Osteopathy (The)",5,13,19,41,23,84,64,0,8,25,51,17,69,53
"256","Oxford Brookes University",3,6,9,47,34,3298,2425,6,9,12,47,25,3502,2350
"257","Oxford Business College UK Limited",0,0,18,73,9,12,11,NA,NA,NA,NA,NA,NA,NA
"258","Pearson College Limited",7,12,19,40,21,284,233,6,13,19,47,16,303,234
"259","Peter Symonds College",0,2,2,40,56,67,43,4,6,13,52,25,65,48
"260","Petroc",7,5,7,40,41,157,131,9,14,11,32,33,96,87
"261","Plumpton College",4,11,26,35,24,54,46,6,10,20,41,24,72,51
"262","University of Plymouth",2,6,7,44,40,4032,3152,5,9,12,43,32,4023,3015
"263","Plymouth College of Art",3,6,14,40,36,376,299,6,11,14,36,33,335,275
"264","Point Blank Limited",3,3,10,39,45,142,102,6,6,8,43,37,144,100
"265","University of Portsmouth",3,4,7,46,40,4873,3367,5,11,13,46,25,5763,3707
"266","Preston College",3,21,17,48,10,58,29,10,15,15,40,20,27,20
"267","Queen Margaret University, Edinburgh",2,7,8,45,38,756,586,4,8,9,40,39,654,501
"268","Queen Mary University of London",3,7,10,51,29,3693,2486,5,8,12,47,28,4031,2702
"269","The Queen's Foundation for Ecumenical Theological Education",2,0,4,33,62,61,52,NA,NA,NA,NA,NA,NA,NA
"270","Queen's University of Belfast",3,6,9,48,33,3833,2726,4,7,11,48,31,4169,3332
"271","Ravensbourne University London",8,11,13,44,24,750,507,15,15,16,36,18,700,471
"272","The University of Reading",2,6,8,48,35,3654,2539,5,10,11,48,26,3539,2486
"273","Reaseheath College",9,16,5,46,23,184,128,4,12,10,47,27,259,209
"274","Regent's University London Limited",3,7,10,41,40,353,230,5,4,13,46,33,424,273
"275","Richmond, the American International University in London, Inc.",4,4,10,46,37,145,81,3,6,12,55,24,99,67
"276","Riverside College",4,2,5,43,46,83,81,6,8,8,38,40,56,50
"277","Robert Gordon University",1,3,6,41,49,2003,1464,2,5,9,44,40,1964,1501
"278","Roehampton University",4,6,11,49,31,2387,1629,6,9,15,44,27,3142,2150
"279","Rose Bruford College of Theatre and Performance",7,19,13,29,31,174,112,3,9,9,35,44,183,149
"280","Royal Academy of Dance",3,12,12,56,18,35,34,3,0,10,38,48,29,29
"281","Royal Academy of Dramatic Art",0,4,2,36,57,61,47,0,5,7,51,37,59,41
"282","The Royal Academy of Music",2,3,6,48,40,88,62,2,3,8,48,39,109,90
"283","The Royal Agricultural University",2,5,9,48,36,348,273,6,12,10,38,34,276,216
"284","Royal College of Music",4,7,5,33,51,100,75,5,3,7,37,47,98,59
"285","Royal Conservatoire of Scotland",2,5,8,37,49,235,168,4,12,5,41,38,239,152
